Número;Paridad;Color;Docena;Columna;Alto_Bajo
1;IMPAR;ROJO;A;A;BAJA
2;PAR;NEGRO;A;B;BAJA
3;IMPAR;ROJO;A;C;BAJA
4;PAR;NEGRO;A;A;BAJA
5;IMPAR;ROJO;A;B;BAJA
6;PAR;NEGRO;A;C;BAJA
7;IMPAR;ROJO;A;A;BAJA
8;PAR;NEGRO;A;B;BAJA
9;IMPAR;ROJO;A;C;BAJA
10;PAR;NEGRO;A;A;BAJA
11;IMPAR;NEGRO;A;B;BAJA
12;PAR;ROJO;A;C;BAJA
13;IMPAR;NEGRO;B;A;BAJA
14;PAR;ROJO;B;B;BAJA
15;IMPAR;NEGRO;B;C;BAJA
16;PAR;ROJO;B;A;BAJA
17;IMPAR;NEGRO;B;B;BAJA
18;PAR;ROJO;B;C;BAJA
19;IMPAR;ROJO;B;A;ALTA
20;PAR;NEGRO;B;B;ALTA
21;IMPAR;ROJO;B;C;ALTA
22;PAR;NEGRO;B;A;ALTA
23;IMPAR;ROJO;B;B;ALTA
24;PAR;NEGRO;B;C;ALTA
25;IMPAR;ROJO;C;A;ALTA
26;PAR;NEGRO;C;B;ALTA
27;IMPAR;ROJO;C;C;ALTA
28;PAR;NEGRO;C;A;ALTA
29;IMPAR;NEGRO;C;B;ALTA
30;PAR;ROJO;C;C;ALTA
31;IMPAR;NEGRO;C;A;ALTA
32;PAR;ROJO;C;B;ALTA
33;IMPAR;NEGRO;C;C;ALTA
34;PAR;ROJO;C;A;ALTA
35;IMPAR;NEGRO;C;B;ALTA
36;PAR;ROJO;C;C;ALTA
0;NA;NA;NA;NA;NA
00;Z;Z;Z;Z;Z
