Sorteo;Número;Paridad;Color;Docena;Columna;Alto_Bajo
1834165;16;PAR;ROJO;B;A;BAJA
1834164;2;PAR;NEGRO;A;B;BAJA
1834163;2;PAR;NEGRO;A;B;BAJA
1834162;10;PAR;NEGRO;A;A;BAJA
1834161;4;PAR;NEGRO;A;A;BAJA
1834160;28;PAR;NEGRO;C;A;ALTA
1834159;6;PAR;NEGRO;A;C;BAJA
1834158;26;PAR;NEGRO;C;B;ALTA
1834157;32;PAR;ROJO;C;B;ALTA
1834156;28;PAR;NEGRO;C;A;ALTA
1834155;18;PAR;ROJO;B;C;BAJA
1834154;10;PAR;NEGRO;A;A;BAJA
1834153;29;IMPAR;NEGRO;C;B;ALTA
1834152;9;IMPAR;ROJO;A;C;BAJA
1834151;9;IMPAR;ROJO;A;C;BAJA
1834150;9;IMPAR;ROJO;A;C;BAJA
1834149;6;PAR;NEGRO;A;C;BAJA
1834148;3;IMPAR;ROJO;A;C;BAJA
1834147;4;PAR;NEGRO;A;A;BAJA
1834146;7;IMPAR;ROJO;A;A;BAJA
1834145;2;PAR;NEGRO;A;B;BAJA
1834144;8;PAR;NEGRO;A;B;BAJA
1834143;0;#N/D;#N/D;#N/D;#N/D;#N/D
1834142;2;PAR;NEGRO;A;B;BAJA
1834141;32;PAR;ROJO;C;B;ALTA
1834140;2;PAR;NEGRO;A;B;BAJA
1834139;11;IMPAR;NEGRO;A;B;BAJA
1834138;1;IMPAR;ROJO;A;A;BAJA
1834137;27;IMPAR;ROJO;C;C;ALTA
1834136;5;IMPAR;ROJO;A;B;BAJA
1834135;18;PAR;ROJO;B;C;BAJA
1834134;22;PAR;NEGRO;B;A;ALTA
1834133;4;PAR;NEGRO;A;A;BAJA
1834132;11;IMPAR;NEGRO;A;B;BAJA
1834131;7;IMPAR;ROJO;A;A;BAJA
1834130;33;IMPAR;NEGRO;C;C;ALTA
1834129;21;IMPAR;ROJO;B;C;ALTA
1834128;26;PAR;NEGRO;C;B;ALTA
1834127;28;PAR;NEGRO;C;A;ALTA
1834126;2;PAR;NEGRO;A;B;BAJA
1834125;32;PAR;ROJO;C;B;ALTA
1834124;20;PAR;NEGRO;B;B;ALTA
1834123;1;IMPAR;ROJO;A;A;BAJA
1834122;26;PAR;NEGRO;C;B;ALTA
1834121;15;IMPAR;NEGRO;B;C;BAJA
1834120;23;IMPAR;ROJO;B;B;ALTA
1834119;33;IMPAR;NEGRO;C;C;ALTA
1834118;6;PAR;NEGRO;A;C;BAJA
1834117;0;#N/D;#N/D;#N/D;#N/D;#N/D
1834116;24;PAR;NEGRO;B;C;ALTA
1834115;26;PAR;NEGRO;C;B;ALTA
1834114;31;IMPAR;NEGRO;C;A;ALTA
1834113;34;PAR;ROJO;C;A;ALTA
1834112;10;PAR;NEGRO;A;A;BAJA
1834111;30;PAR;ROJO;C;C;ALTA
1834110;35;IMPAR;NEGRO;C;B;ALTA
1834109;10;PAR;NEGRO;A;A;BAJA
1834108;20;PAR;NEGRO;B;B;ALTA
1834107;21;IMPAR;ROJO;B;C;ALTA
1834106;8;PAR;NEGRO;A;B;BAJA
1834105;24;PAR;NEGRO;B;C;ALTA
1834104;30;PAR;ROJO;C;C;ALTA
1834103;23;IMPAR;ROJO;B;B;ALTA
1834102;22;PAR;NEGRO;B;A;ALTA
1834101;15;IMPAR;NEGRO;B;C;BAJA
1834100;34;PAR;ROJO;C;A;ALTA
1834099;6;PAR;NEGRO;A;C;BAJA
1834098;3;IMPAR;ROJO;A;C;BAJA
1834097;18;PAR;ROJO;B;C;BAJA
1834096;30;PAR;ROJO;C;C;ALTA
1834095;34;PAR;ROJO;C;A;ALTA
1834094;17;IMPAR;NEGRO;B;B;BAJA
1834093;19;IMPAR;ROJO;B;A;ALTA
1834092;9;IMPAR;ROJO;A;C;BAJA
1834091;11;IMPAR;NEGRO;A;B;BAJA
1834090;9;IMPAR;ROJO;A;C;BAJA
1834089;24;PAR;NEGRO;B;C;ALTA
1834088;18;PAR;ROJO;B;C;BAJA
1834087;8;PAR;NEGRO;A;B;BAJA
1834086;4;PAR;NEGRO;A;A;BAJA
1834085;24;PAR;NEGRO;B;C;ALTA
1834084;13;IMPAR;NEGRO;B;A;BAJA
1834083;17;IMPAR;NEGRO;B;B;BAJA
1834082;3;IMPAR;ROJO;A;C;BAJA
1834081;5;IMPAR;ROJO;A;B;BAJA
1834080;10;PAR;NEGRO;A;A;BAJA
1834079;15;IMPAR;NEGRO;B;C;BAJA
1834078;24;PAR;NEGRO;B;C;ALTA
1834077;31;IMPAR;NEGRO;C;A;ALTA
1834076;19;IMPAR;ROJO;B;A;ALTA
1834075;17;IMPAR;NEGRO;B;B;BAJA
1834074;36;PAR;ROJO;C;C;ALTA
1834073;7;IMPAR;ROJO;A;A;BAJA
1834072;10;PAR;NEGRO;A;A;BAJA
1834071;5;IMPAR;ROJO;A;B;BAJA
1834070;11;IMPAR;NEGRO;A;B;BAJA
1834069;34;PAR;ROJO;C;A;ALTA
1834068;2;PAR;NEGRO;A;B;BAJA
1834067;28;PAR;NEGRO;C;A;ALTA
1834066;28;PAR;NEGRO;C;A;ALTA
1834065;34;PAR;ROJO;C;A;ALTA
1834064;0;#N/D;#N/D;#N/D;#N/D;#N/D
1834063;31;IMPAR;NEGRO;C;A;ALTA
1834062;14;PAR;ROJO;B;B;BAJA
1834061;12;PAR;ROJO;A;C;BAJA
1834060;18;PAR;ROJO;B;C;BAJA
1834059;6;PAR;NEGRO;A;C;BAJA
1834058;18;PAR;ROJO;B;C;BAJA
1834057;22;PAR;NEGRO;B;A;ALTA
1834056;11;IMPAR;NEGRO;A;B;BAJA
1834055;29;IMPAR;NEGRO;C;B;ALTA
1834054;25;IMPAR;ROJO;C;A;ALTA
1834053;6;PAR;NEGRO;A;C;BAJA
1834052;25;IMPAR;ROJO;C;A;ALTA
1834051;10;PAR;NEGRO;A;A;BAJA
1834050;32;PAR;ROJO;C;B;ALTA
1834049;12;PAR;ROJO;A;C;BAJA
1834048;16;PAR;ROJO;B;A;BAJA
1834047;27;IMPAR;ROJO;C;C;ALTA
1834046;22;PAR;NEGRO;B;A;ALTA
1834045;15;IMPAR;NEGRO;B;C;BAJA
1834044;3;IMPAR;ROJO;A;C;BAJA
1834043;2;PAR;NEGRO;A;B;BAJA
1834042;6;PAR;NEGRO;A;C;BAJA
1834041;25;IMPAR;ROJO;C;A;ALTA
1834040;29;IMPAR;NEGRO;C;B;ALTA
1834039;14;PAR;ROJO;B;B;BAJA
1834038;1;IMPAR;ROJO;A;A;BAJA
1834037;32;PAR;ROJO;C;B;ALTA
1834036;5;IMPAR;ROJO;A;B;BAJA
1834035;35;IMPAR;NEGRO;C;B;ALTA
1834034;1;IMPAR;ROJO;A;A;BAJA
1834033;35;IMPAR;NEGRO;C;B;ALTA
1834032;20;PAR;NEGRO;B;B;ALTA
1834031;10;PAR;NEGRO;A;A;BAJA
1834030;9;IMPAR;ROJO;A;C;BAJA
1834029;26;PAR;NEGRO;C;B;ALTA
1834028;25;IMPAR;ROJO;C;A;ALTA
1834027;30;PAR;ROJO;C;C;ALTA
1834026;30;PAR;ROJO;C;C;ALTA
1834025;24;PAR;NEGRO;B;C;ALTA
1834024;11;IMPAR;NEGRO;A;B;BAJA
1834023;19;IMPAR;ROJO;B;A;ALTA
1834022;12;PAR;ROJO;A;C;BAJA
1834021;7;IMPAR;ROJO;A;A;BAJA
1834020;6;PAR;NEGRO;A;C;BAJA
1834019;36;PAR;ROJO;C;C;ALTA
1834018;17;IMPAR;NEGRO;B;B;BAJA
1834017;21;IMPAR;ROJO;B;C;ALTA
1834016;29;IMPAR;NEGRO;C;B;ALTA
1834015;27;IMPAR;ROJO;C;C;ALTA
1834014;36;PAR;ROJO;C;C;ALTA
1834013;2;PAR;NEGRO;A;B;BAJA
1834012;19;IMPAR;ROJO;B;A;ALTA
1834011;20;PAR;NEGRO;B;B;ALTA
1834010;8;PAR;NEGRO;A;B;BAJA
1834009;0;#N/D;#N/D;#N/D;#N/D;#N/D
1834008;20;PAR;NEGRO;B;B;ALTA
1834007;30;PAR;ROJO;C;C;ALTA
1834006;4;PAR;NEGRO;A;A;BAJA
1834005;16;PAR;ROJO;B;A;BAJA
1834004;24;PAR;NEGRO;B;C;ALTA
1834003;6;PAR;NEGRO;A;C;BAJA
1834002;28;PAR;NEGRO;C;A;ALTA
1834001;12;PAR;ROJO;A;C;BAJA
1834000;1;IMPAR;ROJO;A;A;BAJA
1833999;18;PAR;ROJO;B;C;BAJA
1833998;35;IMPAR;NEGRO;C;B;ALTA
1833997;25;IMPAR;ROJO;C;A;ALTA
1833996;5;IMPAR;ROJO;A;B;BAJA
1833995;20;PAR;NEGRO;B;B;ALTA
1833994;27;IMPAR;ROJO;C;C;ALTA
1833993;18;PAR;ROJO;B;C;BAJA
1833992;23;IMPAR;ROJO;B;B;ALTA
1833991;5;IMPAR;ROJO;A;B;BAJA
1833990;2;PAR;NEGRO;A;B;BAJA
1833989;35;IMPAR;NEGRO;C;B;ALTA
1833988;16;PAR;ROJO;B;A;BAJA
1833987;15;IMPAR;NEGRO;B;C;BAJA
1833986;35;IMPAR;NEGRO;C;B;ALTA
1833985;12;PAR;ROJO;A;C;BAJA
1833984;24;PAR;NEGRO;B;C;ALTA
1833983;35;IMPAR;NEGRO;C;B;ALTA
1833982;30;PAR;ROJO;C;C;ALTA
1833981;11;IMPAR;NEGRO;A;B;BAJA
1833980;2;PAR;NEGRO;A;B;BAJA
1833979;28;PAR;NEGRO;C;A;ALTA
